time,x,y,z
2026-09-07T09:35:51.346000Z,0.1914258152246475,7.548757076263428,6.999604225158691
2026-09-07T09:35:52.417000Z,0.0640080049633979,6.747759819030762,6.534798622131348
2026-09-07T09:35:53.363000Z,0.0376869551837444,7.794021606445312,5.891129493713379
2026-09-07T09:35:54.373000Z,0.1668993830680847,7.875975608825684,5.96590518951416
2026-09-07T09:35:55.382000Z,0.238085851073265,7.7180495262146,5.8713884353637695
2026-09-07T09:35:56.394000Z,0.123828575015068,8.404789924621582,4.997410297393799
2026-09-07T09:35:57.400000Z,0.3308077156543731,8.014759063720703,5.675775527954102
2026-09-07T09:35:58.410000Z,0.2889333367347717,7.914260864257812,5.758327484130859
2026-09-07T09:35:59.417000Z,0.2763710021972656,7.8664045333862305,5.935994625091553
2026-09-07T09:36:00.426000Z,0.2333002090454101,7.832904815673828,5.917450428009033
2026-09-07T09:36:01.435000Z,0.2949153780937195,7.823333740234375,5.907280921936035
2026-09-07T09:36:02.442000Z,0.2650051116943359,7.846663475036621,5.763711452484131
2026-09-07T09:36:03.458000Z,0.1902294009923935,7.803592681884766,5.946762561798096
2026-09-07T09:36:04.460000Z,0.1998006850481033,7.813164234161377,5.92223596572876
2026-09-07T09:36:05.470000Z,0.123230367898941,7.798807144165039,5.932405471801758
2026-09-07T09:36:06.479000Z,0.1136590763926506,7.80837869644165,5.898906230926514
2026-09-07T09:36:07.485000Z,0.1902294009923935,7.779664516448975,5.91804838180542
2026-09-07T09:36:08.498000Z,0.0849452018737793,7.812565803527832,5.91804838180542
2026-09-07T09:36:09.488000Z,-1.1180464029312134,4.676173686981201,10.58824062347412
2026-09-07T09:36:10.498000Z,-0.0382851622998714,-0.2117647975683212,10.318449020385742
2026-09-07T09:36:11.509000Z,-0.0382851622998714,-0.1938186287879943,9.80100154876709
2026-09-07T09:36:12.516000Z,0.0562313310801982,0.2033899277448654,9.771689414978027
2026-09-07T09:36:13.525000Z,0.0370887517929077,0.1842473447322845,9.781859397888184
2026-09-07T09:36:14.532000Z,0.0418743975460529,0.1986042857170105,9.762118339538574
2026-09-07T09:36:15.541000Z,0.0275174602866172,0.2033899277448654,9.781859397888184
2026-09-07T09:36:16.551000Z,0.0323031060397625,0.1938186287879943,9.796216011047363
2026-09-07T09:36:17.557000Z,0.0323031060397625,0.2033899277448654,9.78126049041748
2026-09-07T09:36:18.569000Z,0.0370887517929077,0.2033899277448654,9.79083251953125
2026-09-07T09:36:19.576000Z,0.0323031060397625,0.2033899277448654,9.78126049041748
2026-09-07T09:36:20.585000Z,0.0370887517929077,0.2033899277448654,9.771689414978027
2026-09-07T09:36:21.595000Z,0.0370887517929077,0.1938186287879943,9.771689414978027
2026-09-07T09:36:22.601000Z,0.0275174602866172,0.2081755697727203,9.78126049041748
2026-09-07T09:36:23.610000Z,0.0275174602866172,0.1938186287879943,9.78126049041748
2026-09-07T09:36:24.621000Z,0.0275174602866172,0.1986042857170105,9.78126049041748
2026-09-07T09:36:25.628000Z,0.0275174602866172,0.1932204216718673,9.786046028137209
2026-09-07T09:36:26.636000Z,0.0323031060397625,0.1932204216718673,9.78126049041748
2026-09-07T09:36:27.648000Z,0.0317048989236354,0.1980060786008834,9.7669038772583
2026-09-07T09:36:28.655000Z,0.022731814533472,0.1980060786008834,9.776474952697754
2026-09-07T09:36:29.666000Z,0.022731814533472,0.1932204216718673,9.776474952697754
2026-09-07T09:36:30.675000Z,0.0029910283628851,0.1501496136188507,9.738788604736328
2026-09-07T09:36:31.690000Z,0.0221336092799901,0.2171486616134643,9.77109146118164
2026-09-07T09:36:32.705000Z,0.0412761904299259,0.2123630046844482,9.780662536621094
2026-09-07T09:36:33.715000Z,0.0364905446767807,0.2027917206287384,9.780662536621094
2026-09-07T09:36:34.720000Z,0.0364905446767807,0.2027917206287384,9.78544807434082
2026-09-07T09:36:35.718000Z,0.0412761904299259,0.1788634955883026,9.78126049041748
2026-09-07T09:36:36.724000Z,0.0173479635268449,0.2027917206287384,9.761520385742188
2026-09-07T09:36:37.734000Z,0.0364905446767807,0.1980060786008834,9.780662536621094
